Letter	PosX	Width
A	0	3
B	4	3
C	8	3
D	12	3
E	16	3
F	20	3
G	24	4
H	29	3
I	33	3
J	37	3
K	41	3
L	45	3
M	49	5
N	55	4
O	60	3
P	64	3
Q	68	4
R	73	3
S	77	3
T	81	3
U	85	4
V	90	3
W	94	5
X	100	3
Y	104	3
Z	108	3
a	112	3
b	116	3
c	120	2
d	123	3
e	127	3
f	131	3
g	135	3
h	139	3
i	143	1
j	154	1
k	147	3
l	151	2
m	154	5
n	160	3
o	164	3
p	168	3
q	172	3
r	176	3
s	180	3
t	184	3
u	188	4
v	193	3
w	197	5
x	203	3
y	207	3
z	211	2
0	214	3
1	218	2
2	221	3
3	225	3
4	229	3
5	233	3
6	237	3
7	241	3
8	245	3
9	249	3
<	253	3
>	257	3
.	261	1
,	263	2
/	266	3
\	270	3
?	274	3
-	278	2
=	281	3
_	285	3
+	289	3
!	293	1
 	295	1
